text,label
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities.,neutral
Exploring a new part-time job opportunity for gaining work experience. Career development in progress.,neutral
Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities.,neutral
Exploring a new hobby of photography during free time. Capturing moments through a lens.,neutral
Participating in a science fair to showcase a unique experiment. Sharing knowledge with peers.,neutral
Attending a workshop on time management to enhance organizational skills. Striving for efficiency.,neutral
Volunteering at a local charity event to give back to the community. Contributing to social causes.,neutral
Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action.,neutral
Participating in a debate club to enhance critical thinking and communication skills. Intellectual engagement in progress.,neutral
Confusion clouds my mind as I navigate through decisions.,neutral
Confusion reigns as I try to make sense of recent events.,neutral
Confusion surrounds me as I navigate through life's choices.,neutral
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",neutral
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",neutral
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",neutral
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",neutral
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",neutral
Kindness witnessed today restored my faith in humanity.,neutral
Witnessed an act of kindness that made my day.,neutral
Kindness witnessed today restores my faith in humanity.,neutral
"Draped in the warmth of kindness, a quilt of compassion stitched with love.",neutral
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",neutral
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",neutral
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",neutral
"Isolation deepens, an emotional winter where warmth is but a distant memory.",neutral
"Suffocating in the silence of solitude, where echoes of laughter once thrived.",neutral
"The echoes of solitude, a silent conversation between a soul and its shadows.",neutral
"In the tranquility of Kyoto's bamboo forest, whispers of ancient Zen wisdom echo through the groves.",neutral
"In the serene beauty of a sunset, nature unfolds a canvas of colors, evoking a sense of tranquility and wonder.",neutral
"Amidst the bustling city, a quiet café becomes a sanctuary for reflection, where a cup of coffee brings solace to the wandering mind.",neutral
Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill!,neutral
Hiding a snack stash in my backpack for emergency cravings. Snack ninja mode: Activated!,neutral
A bitter experience turned into a valuable lesson.,neutral
Bitter experience at the customer service department.,neutral
Feeling bitter about the unfairness in the workplace.,neutral
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",neutral
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",neutral
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",neutral
Bittersweet emotions arise while bidding farewell to a dear friend.,neutral
"Bitterness like a poison, seeping into every crevice of the wounded heart.",neutral
"The bitterness of betrayal, a taste that lingers, staining the palate of trust.",neutral
Wow I am so happy,positive
This is the best day ever!,positive
I love this song so much!,positive
The weather is absolutely perfect today,positive
Just got promoted at work! So excited!,positive
My team won the championship! Amazing!,positive
This meal is delicious beyond words,positive
Feeling so grateful for all my blessings,positive
The concert was absolutely incredible!,positive
Just adopted the cutest puppy ever!,positive
Vacation starts tomorrow! Can't wait!,positive
Got accepted into my dream school!,positive
This book is life-changing!,positive
My new phone works perfectly!,positive
Family reunion was so much fun!,positive
Just finished my project and it looks amazing!,positive
The service at this hotel is outstanding!,positive
Woke up feeling refreshed and energized!,positive
My garden is blooming beautifully!,positive
This coffee is absolutely perfect!,positive
Just had the most wonderful date!,positive
My baby took his first steps today!,positive
The sunset was breathtaking today!,positive
I aced my final exam! So relieved!,positive
This new recipe turned out fantastic!,positive
Got front row tickets to my favorite show!,positive
My friend surprised me with the best gift!,positive
The beach was so peaceful today,positive
Just completed my first marathon!,positive
This spa day is exactly what I needed,positive
Received unexpected bonus at work!,positive
My plants are thriving this season!,positive
This movie made me laugh so hard!,positive
Finally got my dream job offer!,positive
The park looks gorgeous in spring!,positive
My partner cooked my favorite meal!,positive
This workout class is energizing!,positive
Just bought my first home! So happy!,positive
My students did exceptionally well on their tests,positive
The new update works like a charm!,positive
This vacation is paradise!,positive
My art project got selected for exhibition!,positive
The baby's laughter is contagious!,positive
This playlist is absolutely fire!,positive
Reconnected with an old friend today,positive
My investment paid off handsomely!,positive
This sunset view is magical!,positive
Just published my first book!,positive
The customer service was exceptional!,positive
This new cafe has the most amazing matcha latte!,positive
My dog just learned to fetch - so proud!,positive
The sunrise this morning was pure magic ✨,positive
Finally found the perfect vintage jacket!,positive
My sourdough bread actually turned out well!,positive
Got recognized at work for my efforts - yay!,positive
This cozy blanket is my new happy place,positive
The barista remembered my order - small joys!,positive
My meditation practice is really paying off!,positive
Just got a surprise package from my bestie!,positive
The new park has the best walking trails!,positive
My homemade pizza was restaurant-quality!,positive
This podcast episode was mind-blowing!,positive
My plants just sprouted new leaves 🌱,positive
The kindness of strangers today warmed my heart,positive
Found $20 in my old jeans - lucky day!,positive
This book’s ending left me smiling for hours,positive
My new headphones have incredible sound!,positive
The farmers' market had the freshest berries!,positive
My yoga instructor’s energy is contagious!,positive
Just had the most wholesome conversation,positive
This skincare routine is working wonders!,positive
My niece drew me the sweetest picture!,positive
The rain sounds so peaceful right now ☔,positive
Finally organized my closet - so satisfying!,positive
This smoothie bowl is almost too pretty to eat!,positive
My flight got upgraded to business class!,positive
The new season of my favorite show is here!,positive
This candle smells like a tropical vacation,positive
My coding project finally runs without bugs!,positive
The librarian recommended the perfect book!,positive
Just witnessed the cutest puppy playing,positive
This thrift store find was a total steal!,positive
My sour candy addiction is being fulfilled!,positive
The autumn leaves are breathtaking today,positive
My mentor gave me the best advice!,positive
This new app has simplified my life!,positive
The cashier gave me an extra discount!,positive
My homemade lemonade is a hit at the party!,positive
The museum exhibit was awe-inspiring!,positive
My new journal has the perfect paper texture,positive
This motivational video got me pumped!,positive
The ice cream truck just arrived - nostalgia!,positive
My team’s collaboration is seamless lately,positive
This street performer was incredibly talented,positive
The quiet morning with coffee is bliss,positive
My DIY project turned out better than expected!,positive
This random compliment made my day!,positive
The new bakery in town is a gem!,positive
The meeting has been rescheduled for 3 PM.,neutral
The bus arrived exactly on time today.,neutral
I need to buy more printer ink.,neutral
The weather app says it might rain later.,neutral
The office is unusually quiet this afternoon.,neutral
My laptop battery lasts about 5 hours now.,neutral
The grocery store was out of almond milk.,neutral
The new update added a few minor features.,neutral
The train is running on its usual schedule.,neutral
I finished reading that article you sent.,neutral
The hotel check-in time is at 2 PM.,neutral
The doctor’s office called to confirm my appointment.,neutral
The museum opens at 10 AM tomorrow.,neutral
I’m waiting for the laundry to finish drying.,neutral
The restaurant has a new menu starting next week.,neutral
The traffic light at Main Street was repaired.,neutral
My phone is at 42% battery right now.,neutral
The conference room has been booked for noon.,neutral
The book I ordered should arrive by Friday.,neutral
The gym was less crowded than usual today.,neutral
The instructions were clear and easy to follow.,neutral
The coffee shop introduced a new loyalty program.,neutral
The flight is expected to land on time.,neutral
I need to renew my library card soon.,neutral
The Wi-Fi connection is stable for now.,neutral
The park benches were repainted last week.,neutral
The email said to reply by end of day.,neutral
The printer is out of black ink again.,neutral
The subway station is being cleaned right now.,neutral
The hotel provides towels and toiletries.,neutral
The supermarket has a sale on canned goods.,neutral
The webinar starts in about 15 minutes.,neutral
The sidewalk construction is almost done.,neutral
The news mentioned a new policy change.,neutral
The bakery closes at 6 PM on Sundays.,neutral
The instructions came with a diagram.,neutral
The taxi fare was the same as usual.,neutral
The office thermostat is set to 72 degrees.,neutral
The parking lot has plenty of spaces today.,neutral
The delivery was left at the front door.,neutral
The meeting agenda was just emailed out.,neutral
The streetlights turn on at 6:30 PM.,neutral
The hotel offers free breakfast until 10 AM.,neutral
The bus stop was moved across the street.,neutral
The software requires a quick restart.,neutral
The conference call lasted 30 minutes.,neutral
The store has both options in stock.,neutral
The recipe calls for two eggs.,neutral
The keys were left on the kitchen counter.,neutral
The printer is now out of paper.,neutral
The meeting has been moved to Conference Room B.,neutral
I need to refill my metro card tomorrow.,neutral
The supermarket receipt was 2 feet long.,neutral
The office thermostat is set to 22 degrees Celsius.,neutral
The train announcement said there will be a 5-minute delay.,neutral
The user manual was 23 pages long.,neutral
The museum's new exhibit opens next month.,neutral
The dry cleaner closes at 7pm on weekdays.,neutral
The email contained three attachments.,neutral
The parking meter accepts credit cards now.,neutral
The hotel lobby has free coffee until 10am.,neutral
The bus stop was relocated due to construction.,neutral
The software update took about 12 minutes.,neutral
The bookstore has a new section for audiobooks.,neutral
The dentist appointment reminder came by text.,neutral
The grocery list had 15 items on it.,neutral
The conference call started right on time.,neutral
The street sign was recently repainted.,neutral
The library book is due in seven days.,neutral
The pharmacy is out of stock on that brand.,neutral
The train seats were recently reupholstered.,neutral
The office supply order arrived before lunch.,neutral
The bank statement showed five transactions.,neutral
The restaurant's special today is chicken pasta.,neutral
The instruction video was 4 minutes and 32 seconds long.,neutral
The hotel room has two queen-sized beds.,neutral
The elevator was temporarily out of service.,neutral
The coffee machine needs a water refill.,neutral
The webinar registration requires an email address.,neutral
The parking garage has spaces on level 3.,neutral
The store's return policy was posted by the register.,neutral
The flight boarding pass showed Gate C12.,neutral
The meeting minutes were distributed to all attendees.,neutral
The sidewalk construction will last two more weeks.,neutral
The product manual was translated into six languages.,neutral
The office chair's height is adjustable.,neutral
The bus schedule changed effective yesterday.,neutral
The conference badge pickup starts at 8am.,neutral
The hotel provides an iron upon request.,neutral
The museum audio guide costs $5 to rent.,neutral
The train platform was crowded but orderly.,neutral
The software installation requires 500MB of space.,neutral
The doctor's office has free Wi-Fi for patients.,neutral
The grocery store's self-checkout was working fine.,neutral
The office recycling bin gets emptied on Fridays.,neutral
The taxi stand was moved to the south entrance.,neutral
The restaurant's menu had gluten-free options marked.,neutral
The package tracking shows delivery by 8pm.,neutral
The bank's ATM was out of receipt paper.,neutral
The conference room has a 65-inch monitor.,neutral
This is the worst day ever.,negative
I hate this product so much.,negative
"Terrible service, never coming back.",negative
I'm so disappointed with this.,negative
This movie was a complete waste of time.,negative
Absolutely horrible experience.,negative
Can't believe how bad this is.,negative
Worst customer service I've ever seen.,negative
I regret buying this.,negative
Such a frustrating experience.,negative
This food tastes awful.,negative
Never using this app again.,negative
Extremely dissatisfied with my purchase.,negative
Ruined my entire day.,negative
Total disaster from start to finish.,negative
I want my money back.,negative
Unbelievably poor quality.,negative
This is unacceptable.,negative
Made me so angry.,negative
Waste of money.,negative
Couldn't be more unhappy.,negative
Beyond disappointed.,negative
Shocking how bad this service is.,negative
Feeling miserable after this.,negative
Not worth a single penny.,negative
Complete letdown.,negative
Worst decision ever.,negative
I feel cheated.,negative
Absolutely disgusting.,negative
Never been so frustrated.,negative
This ruined everything.,negative
Horrendous experience.,negative
Painfully bad.,negative
Should have known better.,negative
Utter garbage.,negative
Made my blood boil.,negative
Can't stand this anymore.,negative
Deeply unhappy with this.,negative
Wish I could give zero stars.,negative
Appalling service.,negative
Totally heartbroken.,negative
Worst thing I've ever bought.,negative
Feeling so down because of this.,negative
Regret this decision deeply.,negative
Made me cry in frustration.,negative
Disgusted by this experience.,negative
Never felt so disappointed.,negative
Complete nightmare.,negative
Wish I could erase this memory.,negative
Absolutely devastated.,negative
The wifi is so slow today it's unbearable,negative
My flight got delayed for the third time,negative
This coffee tastes like dirty water,negative
The package never arrived despite the tracking saying delivered,negative
The customer service rep was completely useless,negative
My phone battery dies in 2 hours now,negative
The hotel room smells like mold and cigarettes,negative
The concert was canceled at the last minute,negative
This traffic is making me miss my appointment,negative
The food took over an hour and arrived cold,negative
The new update ruined my favorite app,negative
They charged me twice for the same purchase,negative
The movie was a complete waste of time,negative
My luggage got lost during my connecting flight,negative
The AC broke during the hottest day of summer,negative
The restaurant got my order wrong three times,negative
The taxi driver took the longest route possible,negative
This product broke after just one week of use,negative
The neighbors have been loud all night,negative
The website crashed during checkout,negative
The plumber never showed up like promised,negative
The delivery guy left my package in the rain,negative
This mattress is giving me back pain,negative
The service at this place is ridiculously slow,negative
My reservation somehow disappeared from their system,negative
The repair cost was twice what they estimated,negative
The concert tickets were way overpriced,negative
The hotel bed had stains on the sheets,negative
The app keeps freezing every time I use it,negative
The food poisoning ruined my entire vacation,negative
The landlord raised the rent by 30%,negative
The car rental place gave me a vehicle with no gas,negative
The speaker at the conference was completely unprepared,negative
The gym equipment is always broken,negative
The taxi smelled like someone smoked in it,negative
The online order came with missing items,negative
The movie theater seats were sticky and gross,negative
The airline lost my luggage for the second time,negative
The new manager made everything worse,negative
The website's pop-up ads make it unusable,negative
"The ""waterproof"" phone case wasn't waterproof",negative
The concert sound system kept cutting out,negative
The hotel charged me for services I didn't use,negative
The food delivery took 2 hours for cold fries,negative
The customer support hung up on me twice,negative
The product photos were completely misleading,negative
The construction noise starts at 6am every day,negative
The parking ticket machine wasn't working,negative
The tour guide got all the historical facts wrong,negative
"The so-called ""luxury"" apartment has cockroaches",negative
Wow I am so happy,positive
This is the best day ever!,positive
I love this song so much!,positive
The weather is absolutely perfect today,positive
Just got promoted at work! So excited!,positive
My team won the championship! Amazing!,positive
This meal is delicious beyond words,positive
Feeling so grateful for all my blessings,positive
The concert was absolutely incredible!,positive
Just adopted the cutest puppy ever!,positive
Vacation starts tomorrow! Can't wait!,positive
Got accepted into my dream school!,positive
This book is life-changing!,positive
My new phone works perfectly!,positive
Family reunion was so much fun!,positive
Just finished my project and it looks amazing!,positive
The service at this hotel is outstanding!,positive
Woke up feeling refreshed and energized!,positive
My garden is blooming beautifully!,positive
This coffee is absolutely perfect!,positive
Just had the most wonderful date!,positive
My baby took his first steps today!,positive
The sunset was breathtaking today!,positive
I aced my final exam! So relieved!,positive
This new recipe turned out fantastic!,positive
Got front row tickets to my favorite show!,positive
My friend surprised me with the best gift!,positive
The beach was so peaceful today,positive
Just completed my first marathon!,positive
This spa day is exactly what I needed,positive
Received unexpected bonus at work!,positive
My plants are thriving this season!,positive
This movie made me laugh so hard!,positive
Finally got my dream job offer!,positive
The park looks gorgeous in spring!,positive
My partner cooked my favorite meal!,positive
This workout class is energizing!,positive
Just bought my first home! So happy!,positive
My students did exceptionally well on their tests,positive
The new update works like a charm!,positive
This vacation is paradise!,positive
My art project got selected for exhibition!,positive
The baby's laughter is contagious!,positive
This playlist is absolutely fire!,positive
Reconnected with an old friend today,positive
My investment paid off handsomely!,positive
This sunset view is magical!,positive
Just published my first book!,positive
The customer service was exceptional!,positive
This new cafe has the most amazing matcha latte!,positive
My dog just learned to fetch - so proud!,positive
The sunrise this morning was pure magic ✨,positive
Finally found the perfect vintage jacket!,positive
My sourdough bread actually turned out well!,positive
Got recognized at work for my efforts - yay!,positive
This cozy blanket is my new happy place,positive
The barista remembered my order - small joys!,positive
My meditation practice is really paying off!,positive
Just got a surprise package from my bestie!,positive
The new park has the best walking trails!,positive
My homemade pizza was restaurant-quality!,positive
This podcast episode was mind-blowing!,positive
My plants just sprouted new leaves 🌱,positive
The kindness of strangers today warmed my heart,positive
Found $20 in my old jeans - lucky day!,positive
This book’s ending left me smiling for hours,positive
My new headphones have incredible sound!,positive
The farmers' market had the freshest berries!,positive
My yoga instructor’s energy is contagious!,positive
Just had the most wholesome conversation,positive
This skincare routine is working wonders!,positive
My niece drew me the sweetest picture!,positive
The rain sounds so peaceful right now ☔,positive
Finally organized my closet - so satisfying!,positive
This smoothie bowl is almost too pretty to eat!,positive
My flight got upgraded to business class!,positive
The new season of my favorite show is here!,positive
This candle smells like a tropical vacation,positive
My coding project finally runs without bugs!,positive
The librarian recommended the perfect book!,positive
Just witnessed the cutest puppy playing,positive
This thrift store find was a total steal!,positive
My sour candy addiction is being fulfilled!,positive
The autumn leaves are breathtaking today,positive
My mentor gave me the best advice!,positive
This new app has simplified my life!,positive
The cashier gave me an extra discount!,positive
My homemade lemonade is a hit at the party!,positive
The museum exhibit was awe-inspiring!,positive
My new journal has the perfect paper texture,positive
This motivational video got me pumped!,positive
The ice cream truck just arrived - nostalgia!,positive
My team’s collaboration is seamless lately,positive
This street performer was incredibly talented,positive
The quiet morning with coffee is bliss,positive
My DIY project turned out better than expected!,positive
This random compliment made my day!,positive
The new bakery in town is a gem!,positive
The meeting has been rescheduled for 3 PM.,neutral
The bus arrived exactly on time today.,neutral
I need to buy more printer ink.,neutral
The weather app says it might rain later.,neutral
The office is unusually quiet this afternoon.,neutral
My laptop battery lasts about 5 hours now.,neutral
The grocery store was out of almond milk.,neutral
The new update added a few minor features.,neutral
The train is running on its usual schedule.,neutral
I finished reading that article you sent.,neutral
The hotel check-in time is at 2 PM.,neutral
The doctor’s office called to confirm my appointment.,neutral
The museum opens at 10 AM tomorrow.,neutral
I’m waiting for the laundry to finish drying.,neutral
The restaurant has a new menu starting next week.,neutral
The traffic light at Main Street was repaired.,neutral
My phone is at 42% battery right now.,neutral
The conference room has been booked for noon.,neutral
The book I ordered should arrive by Friday.,neutral
The gym was less crowded than usual today.,neutral
The instructions were clear and easy to follow.,neutral
The coffee shop introduced a new loyalty program.,neutral
The flight is expected to land on time.,neutral
I need to renew my library card soon.,neutral
The Wi-Fi connection is stable for now.,neutral
The park benches were repainted last week.,neutral
The email said to reply by end of day.,neutral
The printer is out of black ink again.,neutral
The subway station is being cleaned right now.,neutral
The hotel provides towels and toiletries.,neutral
The supermarket has a sale on canned goods.,neutral
The webinar starts in about 15 minutes.,neutral
The sidewalk construction is almost done.,neutral
The news mentioned a new policy change.,neutral
The bakery closes at 6 PM on Sundays.,neutral
The instructions came with a diagram.,neutral
The taxi fare was the same as usual.,neutral
The office thermostat is set to 72 degrees.,neutral
The parking lot has plenty of spaces today.,neutral
The delivery was left at the front door.,neutral
The meeting agenda was just emailed out.,neutral
The streetlights turn on at 6:30 PM.,neutral
The hotel offers free breakfast until 10 AM.,neutral
The bus stop was moved across the street.,neutral
The software requires a quick restart.,neutral
The conference call lasted 30 minutes.,neutral
The store has both options in stock.,neutral
The recipe calls for two eggs.,neutral
The keys were left on the kitchen counter.,neutral
The printer is now out of paper.,neutral
The meeting has been moved to Conference Room B.,neutral
I need to refill my metro card tomorrow.,neutral
The supermarket receipt was 2 feet long.,neutral
The office thermostat is set to 22 degrees Celsius.,neutral
The train announcement said there will be a 5-minute delay.,neutral
The user manual was 23 pages long.,neutral
The museum's new exhibit opens next month.,neutral
The dry cleaner closes at 7pm on weekdays.,neutral
The email contained three attachments.,neutral
The parking meter accepts credit cards now.,neutral
The hotel lobby has free coffee until 10am.,neutral
The bus stop was relocated due to construction.,neutral
The software update took about 12 minutes.,neutral
The bookstore has a new section for audiobooks.,neutral
The dentist appointment reminder came by text.,neutral
The grocery list had 15 items on it.,neutral
The conference call started right on time.,neutral
The street sign was recently repainted.,neutral
The library book is due in seven days.,neutral
The pharmacy is out of stock on that brand.,neutral
The train seats were recently reupholstered.,neutral
The office supply order arrived before lunch.,neutral
The bank statement showed five transactions.,neutral
The restaurant's special today is chicken pasta.,neutral
The instruction video was 4 minutes and 32 seconds long.,neutral
The hotel room has two queen-sized beds.,neutral
The elevator was temporarily out of service.,neutral
The coffee machine needs a water refill.,neutral
The webinar registration requires an email address.,neutral
The parking garage has spaces on level 3.,neutral
The store's return policy was posted by the register.,neutral
The flight boarding pass showed Gate C12.,neutral
The meeting minutes were distributed to all attendees.,neutral
The sidewalk construction will last two more weeks.,neutral
The product manual was translated into six languages.,neutral
The office chair's height is adjustable.,neutral
The bus schedule changed effective yesterday.,neutral
The conference badge pickup starts at 8am.,neutral
The hotel provides an iron upon request.,neutral
The museum audio guide costs $5 to rent.,neutral
The train platform was crowded but orderly.,neutral
The software installation requires 500MB of space.,neutral
The doctor's office has free Wi-Fi for patients.,neutral
The grocery store's self-checkout was working fine.,neutral
The office recycling bin gets emptied on Fridays.,neutral
The taxi stand was moved to the south entrance.,neutral
The restaurant's menu had gluten-free options marked.,neutral
The package tracking shows delivery by 8pm.,neutral
The bank's ATM was out of receipt paper.,neutral
The conference room has a 65-inch monitor.,neutral
This is the worst day ever.,negative
I hate this product so much.,negative
"Terrible service, never coming back.",negative
I'm so disappointed with this.,negative
This movie was a complete waste of time.,negative
Absolutely horrible experience.,negative
Can't believe how bad this is.,negative
Worst customer service I've ever seen.,negative
I regret buying this.,negative
Such a frustrating experience.,negative
This food tastes awful.,negative
Never using this app again.,negative
Extremely dissatisfied with my purchase.,negative
Ruined my entire day.,negative
Total disaster from start to finish.,negative
I want my money back.,negative
Unbelievably poor quality.,negative
This is unacceptable.,negative
Made me so angry.,negative
Waste of money.,negative
Couldn't be more unhappy.,negative
Beyond disappointed.,negative
Shocking how bad this service is.,negative
Feeling miserable after this.,negative
Not worth a single penny.,negative
Complete letdown.,negative
Worst decision ever.,negative
I feel cheated.,negative
Absolutely disgusting.,negative
Never been so frustrated.,negative
This ruined everything.,negative
Horrendous experience.,negative
Painfully bad.,negative
Should have known better.,negative
Utter garbage.,negative
Made my blood boil.,negative
Can't stand this anymore.,negative
Deeply unhappy with this.,negative
Wish I could give zero stars.,negative
Appalling service.,negative
Totally heartbroken.,negative
Worst thing I've ever bought.,negative
Feeling so down because of this.,negative
Regret this decision deeply.,negative
Made me cry in frustration.,negative
Disgusted by this experience.,negative
Never felt so disappointed.,negative
Complete nightmare.,negative
Wish I could erase this memory.,negative
Absolutely devastated.,negative
The wifi is so slow today it's unbearable,negative
My flight got delayed for the third time,negative
This coffee tastes like dirty water,negative
The package never arrived despite the tracking saying delivered,negative
The customer service rep was completely useless,negative
My phone battery dies in 2 hours now,negative
The hotel room smells like mold and cigarettes,negative
The concert was canceled at the last minute,negative
This traffic is making me miss my appointment,negative
The food took over an hour and arrived cold,negative
The new update ruined my favorite app,negative
They charged me twice for the same purchase,negative
The movie was a complete waste of time,negative
My luggage got lost during my connecting flight,negative
The AC broke during the hottest day of summer,negative
The restaurant got my order wrong three times,negative
The taxi driver took the longest route possible,negative
This product broke after just one week of use,negative
The neighbors have been loud all night,negative
The website crashed during checkout,negative
The plumber never showed up like promised,negative
The delivery guy left my package in the rain,negative
This mattress is giving me back pain,negative
The service at this place is ridiculously slow,negative
My reservation somehow disappeared from their system,negative
The repair cost was twice what they estimated,negative
The concert tickets were way overpriced,negative
The hotel bed had stains on the sheets,negative
The app keeps freezing every time I use it,negative
The food poisoning ruined my entire vacation,negative
The landlord raised the rent by 30%,negative
The car rental place gave me a vehicle with no gas,negative
The speaker at the conference was completely unprepared,negative
The gym equipment is always broken,negative
